
> my-project@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.119.76.145:3000
✓ Ready in 727ms
⚠ Warning: Next.js ignored package-lock.json in /home/raftlee/Documentos/Workspace because it is outside the current Git repository (/home/raftlee/Documentos/Workspace/prototipo-vigia).
 To use this directory, set `turbopack.root` in your Next.js config.

✓ Running next.config.mjs took 29ms

 GET /alertas 200 in 2.0s (next.js: 1443ms, proxy.ts: 258ms, application-code: 298ms)
 GET /api/v1/eventos?limit=10 200 in 96ms (next.js: 29ms, proxy.ts: 16ms, application-code: 51ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 22ms, proxy.ts: 10ms, application-code: 10.1s)
 GET /api/v1/eventos?limit=10 200 in 69ms (next.js: 29ms, proxy.ts: 6ms, application-code: 33ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 76ms (next.js: 33ms, proxy.ts: 8ms, application-code: 35ms)
 GET /api/v1/eventos?limit=10 200 in 114ms (next.js: 29ms, proxy.ts: 9ms, application-code: 76ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 119ms (next.js: 38ms, proxy.ts: 8ms, application-code: 73ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 26ms, proxy.ts: 4ms, application-code: 10.0s)
 GET /api/v1/eventos?limit=10 200 in 75ms (next.js: 33ms, proxy.ts: 13ms, application-code: 29ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 78ms (next.js: 36ms, proxy.ts: 14ms, application-code: 28ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 87ms (next.js: 35ms, proxy.ts: 8ms, application-code: 45ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 89ms (next.js: 48ms, proxy.ts: 12ms, application-code: 29ms)
 GET /api/v1/eventos?limit=10 200 in 99ms (next.js: 44ms, proxy.ts: 11ms, application-code: 44ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 62ms (next.js: 31ms, proxy.ts: 5ms, application-code: 26ms)
 GET /api/v1/eventos?limit=10 200 in 72ms (next.js: 24ms, proxy.ts: 7ms, application-code: 42ms)
 GET /api/v1/eventos?limit=10 200 in 75ms (next.js: 31ms, proxy.ts: 11ms, application-code: 33ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 77ms (next.js: 37ms, proxy.ts: 8ms, application-code: 31ms)
 POST /api/v1/ia/analizar 200 in 5.6s (next.js: 19ms, proxy.ts: 8ms, application-code: 5.5s)
 GET /api/v1/eventos?limit=10 200 in 68ms (next.js: 28ms, proxy.ts: 13ms, application-code: 27ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 73ms (next.js: 33ms, proxy.ts: 13ms, application-code: 28ms)
 GET /api/v1/eventos?limit=10 200 in 180ms (next.js: 71ms, proxy.ts: 31ms, application-code: 78ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 191ms (next.js: 84ms, proxy.ts: 25ms, application-code: 82ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 127ms (next.js: 53ms, proxy.ts: 15ms, application-code: 59ms)
 GET /api/v1/eventos?limit=10 200 in 140ms (next.js: 44ms, proxy.ts: 14ms, application-code: 82ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 93ms (next.js: 43ms, proxy.ts: 3ms, application-code: 47ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 97ms (next.js: 57ms, proxy.ts: 9ms, application-code: 30ms)
 GET /api/v1/eventos?limit=10 200 in 114ms (next.js: 50ms, proxy.ts: 13ms, application-code: 51ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 82ms (next.js: 34ms, proxy.ts: 15ms, application-code: 33ms)
 GET /api/v1/eventos?limit=10 200 in 93ms (next.js: 30ms, proxy.ts: 13ms, application-code: 49ms)
 GET /api/v1/eventos?limit=10 200 in 68ms (next.js: 28ms, proxy.ts: 6ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 71ms (next.js: 27ms, proxy.ts: 10ms, application-code: 35ms)
 GET /api/v1/eventos?limit=10 200 in 66ms (next.js: 27ms, proxy.ts: 7ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 70ms (next.js: 32ms, proxy.ts: 6ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 154ms (next.js: 57ms, proxy.ts: 19ms, application-code: 77ms)
 GET /api/v1/eventos?limit=10 200 in 194ms (next.js: 77ms, proxy.ts: 23ms, application-code: 94ms)
 GET /api/v1/eventos?limit=10 200 in 64ms (next.js: 27ms, proxy.ts: 5ms, application-code: 33ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 68ms (next.js: 36ms, proxy.ts: 5ms, application-code: 26ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 81ms (next.js: 35ms, proxy.ts: 6ms, application-code: 39ms)
 GET /api/v1/eventos?limit=10 200 in 94ms (next.js: 46ms, proxy.ts: 9ms, application-code: 39ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 98ms (next.js: 34ms, proxy.ts: 34ms, application-code: 30ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 71ms (next.js: 33ms, proxy.ts: 7ms, application-code: 30ms)
 GET /api/v1/eventos?limit=10 200 in 80ms (next.js: 29ms, proxy.ts: 9ms, application-code: 42ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 34ms, proxy.ts: 10ms, application-code: 24ms)
 GET /api/v1/eventos?limit=10 200 in 76ms (next.js: 27ms, proxy.ts: 8ms, application-code: 41ms)
 GET /api/v1/eventos?limit=10 200 in 65ms (next.js: 27ms, proxy.ts: 6ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 70ms (next.js: 34ms, proxy.ts: 8ms, application-code: 27ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 36ms, proxy.ts: 7ms, application-code: 27ms)
 GET /api/v1/eventos?limit=10 200 in 80ms (next.js: 30ms, proxy.ts: 10ms, application-code: 39ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 94ms (next.js: 34ms, proxy.ts: 10ms, application-code: 50ms)
 GET /api/v1/eventos?limit=10 200 in 101ms (next.js: 26ms, proxy.ts: 9ms, application-code: 66ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 86ms (next.js: 36ms, proxy.ts: 7ms, application-code: 42ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 87ms (next.js: 50ms, proxy.ts: 13ms, application-code: 24ms)
 GET /api/v1/eventos?limit=10 200 in 98ms (next.js: 43ms, proxy.ts: 12ms, application-code: 42ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 68ms (next.js: 35ms, proxy.ts: 6ms, application-code: 27ms)
 GET /api/v1/eventos?limit=10 200 in 76ms (next.js: 25ms, proxy.ts: 9ms, application-code: 42ms)
 GET /api/v1/eventos?limit=10 200 in 69ms (next.js: 27ms, proxy.ts: 8ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 74ms (next.js: 34ms, proxy.ts: 12ms, application-code: 29ms)
 GET /api/v1/eventos?limit=10 200 in 68ms (next.js: 26ms, proxy.ts: 8ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 71ms (next.js: 30ms, proxy.ts: 8ms, application-code: 33ms)
 GET /api/v1/eventos?limit=10 200 in 86ms (next.js: 29ms, proxy.ts: 10ms, application-code: 47ms)
